,Unnamed: 0,title,author,genre,platform,story,rate,keywords
391,391,천리마,김규삼,"옴니버스, 개그",네이버 웹툰,"&lt;쌉니다 천리마마트&gt; 드라마화 기념 특별외전
반가운 천리마 마트 멤버들의 새로운 이야기!",9.96,"['가운', '기념', '마트', '드라마', '이야기']"
392,392,신암행어사,윤인완 / 양경일,"스토리, 판타지",네이버 웹툰,"지금부터 일어나는 일은 모두 우연이다!
웹툰으로 돌아온 윤인완/양경일 작가 명작 &lt;신암행어사&gt; REBOOT!",9.95,"['모두', '우연', '지금', '명작', '경일']"
393,393,식스틴,김인태,"스토리, 드라마",네이버 웹툰,"29살 싱글맘 직장인 서인주, 어느 날 나타난 수상한 동창으로 그녀의 일상이 흔들린다.",9.96,"['동창', '수상한', '싱글', '인주', '일상']"
394,394,2019,웹툰작가,"스토리, 스릴러",네이버 웹툰,"2019 여름특집 공포 단편선 - 괴담의 재구성
※주의※ 절대 이 작품을 혼자 읽지 마시오",9.29,"['공포', '괴담', '구성', '작품', '주의']"
395,395,여기가,MU / 만화인간,"스토리, 개그",네이버 웹툰,"시름은 씨름으로 잊자!
샅바마왕이 귀환했다!",9.55,"['귀환', '마왕', '샅바', '씨름', '시름']"
396,396,타인지옥,김용키,"스토리, 스릴러",네이버 웹툰,"&lt;타인은 지옥이다&gt; 특별외전 - 연쇄살묘사건
고벤저스, 재등장! 종우가 오기 전 일어난 참혹한 사건의 전말은?!",9.9,"['저스', '사건', '연쇄', '오기', '외전']"
397,397,소유,한(恨),"스토리, 드라마",네이버 웹툰,"욕망, 결핍, 집착, 그리고...
사랑을 향한 파국 스릴러.",9.91,"['결핍', '사랑', '스릴러', '욕망', '집착']"
398,398,둥굴레차!휴재,기라3,"스토리, 판타지",네이버 웹툰,"청룡, 주작, 백호, 현무. 
사신의 증표를 가지고 태어난 네 무술소년들의 수련기 
2013 대학만화 최강자전 2위 수상작!",9.95,"['가지', '대학', '무술', '사신', '수련']"
399,399,허니허니,문나영,"스토리, 로맨스",네이버 웹툰,"어느 날 예비고3 신해수에게 들이닥친 결혼?! 상대는 독사 최혁준 쌤?
띠동갑 커플 해수와 혁준의 서툴지만 달달한 선결혼 후연애 러브 스토리.",9.92,"['스토리', '신해', '결혼', '동갑', '상대']"
400,400,12차원,컷부,"옴니버스, 개그",네이버 웹툰,"소무하보다 더 강해진 녀석들이 돌아왔다. 
차원을 넘나드는 소년들의 다양한 이야기",9.89,"['녀석', '무하', '소년', '이야기', '차원']"
