,id,title,author,day,genre,story,platform,age,free,complete,thumbnail,web,rate,title
12,12,칼가는 소녀,오리,월,"에피소드, 드라마","치사율 100%의 인싸 희귀병 소녀 '사랑'
누구보다 차분하고 두려움 없는 같은 반 소녀 '은조'
두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다.
네이버웹툰 최강자전 18년 대표작.",네이버 웹툰,12,1,0,https://shared-comic.pstatic.net/thumb/webtoon/730174/thumbnail/thumbnail_IMAG06_2c90b91a-ad4b-4903-8dac-117a99371fe4.jpg,https://comic.naver.com/webtoon/list?titleId=730174&amp;weekday=mon,9.97,칼가는 소녀
13,13,유일무이 로맨스,두부,월,"스토리, 로맨스","평범한 취준생 공유일의 일상에 
인기절정 탑배우 탁무이와 아이돌 류민이 침범해오기 시작했다! 
사심가득 탑스타♥",네이버 웹툰,12,1,0,https://shared-comic.pstatic.net/thumb/webtoon/709731/thumbnail/thumbnail_IMAG06_f61f0de6-97b2-4dfe-9eba-fbbe6254ec7e.jpg,https://comic.naver.com/webtoon/list?titleId=709731&amp;weekday=mon,9.98,유일무이 로맨스
14,14,"아, 쫌 참으세요 영주님!",daybook / 새우초밥,월,"스토리, 로맨스","작고 가난한 영지 ‘화이트’의 영주, 로즈.
영주민들과 오순도순 잘 먹고 잘살고 싶었는데, 갑자기 이종족 이주민이 늘고 자꾸 사건에 휘말린다?! 
막강 능력 영주님 ‘로즈’와 그녀를 영지에 몰래몰래 숨겨 놓고 보호하고픈 스승, ‘대마법사 이그드라실’의 유쾌 발랄 로맨스 판타지!",네이버 웹툰,12,1,0,https://shared-comic.pstatic.net/thumb/webtoon/774703/thumbnail/thumbnail_IMAG06_f97b8df9-dad6-4386-80c7-387bf45b6922.jpg,https://comic.naver.com/webtoon/list?titleId=774703&amp;weekday=mon,9.93,"아, 쫌 참으세요 영주님!"
15,15,리턴 투 플레이어,"인덱스,엄키 / 세혼",월,"스토리, 판타지","어느 날, 게임이 되어버린 세상.
갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어  퀘스트를 달성해야 한다!
인류의 종말에서 회귀한 2회차 플레이어, 김세한.
그는 과연 세상을 이렇게 만든 '시스템'을 쳐부술 수 있을까!",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/752414/thumbnail/thumbnail_IMAG06_86c3fddc-9ac3-4c45-a414-4241c5ca6921.jpg,https://comic.naver.com/webtoon/list?titleId=752414&amp;weekday=mon,9.93,리턴 투 플레이어
16,16,히어로메이커,빤쓰,월,"옴니버스, 판타지",왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다~,네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/21815/thumbnail/thumbnail_title_21815_125x101.gif,https://comic.naver.com/webtoon/list?titleId=21815&amp;weekday=mon,9.96,히어로메이커
17,17,물어보는 사이,성은,월,"스토리, 로맨스","뱀파이어에게 물리면 건강해진다?!
?두통으로 의도치 않게 비호감 연예인이 된 이채이.
우연히 톱스타인 서이준이 뱀파이어이고, 그에게 물리면 한동안 건강해진다는 걸 알게 된다.
물어달라 부탁하는 채이에게 이준은 계약 연애를 제안하는데...?",네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/772725/thumbnail/thumbnail_IMAG06_8047c999-2cbe-4a6b-a554-2692294e98bb.jpg,https://comic.naver.com/webtoon/list?titleId=772725&amp;weekday=mon,9.94,물어보는 사이
18,18,잔불의 기사,환댕,월,"스토리, 판타지","유일한 가족이자, 최고의 기사 유망주였던 쌍둥이 동생이 살해당했다.
천재적이었던 동생과는 달리 무예에 재능이 전혀 없지만,
동생의 복수를 위해 '강함'을 연기하기로 결심했다.
약해빠진 나는 복수에 성공할 수 있을까.",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/768536/thumbnail/thumbnail_IMAG06_ee91a284-aba1-48c7-bddc-45e922c2fdd0.jpg,https://comic.naver.com/webtoon/list?titleId=768536&amp;weekday=mon,9.93,잔불의 기사
19,19,하루의 하루,김이랑,월,"스토리, 드라마","오하루는 다른 사람의 마음을 읽을 수 있는 초능력자다.
얼마 전, 저주 받은 능력 때문에 첫사랑도 허무하게 깨져버리고
건조한 일상을 보내고 있던 하루에게 최근 신경쓰이는 사람이 생겼다.
?
그 사람은 바로, 같은 과 동기인 도하루.
그녀의 마음은 도무지 보이지 않는다. 이건 혹시.. 운명..?",네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/774302/thumbnail/thumbnail_IMAG06_f737e71f-8b45-4e00-93df-c78f02254075.jpg,https://comic.naver.com/webtoon/list?titleId=774302&amp;weekday=mon,9.95,하루의 하루
20,20,소녀의 세계,모랑지,월,"스토리, 드라마","완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물",네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/654774/thumbnail/thumbnail_IMAG06_8ec78896-0b7f-44c3-9eb6-2ba9ab3b07f0.jpg,https://comic.naver.com/webtoon/list?titleId=654774&amp;weekday=mon,9.96,소녀의 세계
21,21,결혼생활 그림일기,은꼼지,월,"옴니버스, 일상",조용할 날 없는 우당탕탕 두 짐승의 결혼생활 이야기!,네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/741891/thumbnail/thumbnail_IMAG06_270700ac-8ce0-4559-a780-5cb7f5ff0d09.jpg,https://comic.naver.com/webtoon/list?titleId=741891&amp;weekday=mon,9.95,결혼생활 그림일기
22,22,오늘의 순정망화,손하기,"월, 화, 목","에피소드, 개그","그마고 초엘리트집단 삼국시대 앞에 나타난 전학생 가야!
가야의 마음을 얻는 건 누구?",네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/716857/thumbnail/thumbnail_IMAG06_ff0bfef2-824f-4ce9-9bcf-5e651ca64375.jpg,https://comic.naver.com/webtoon/list?titleId=716857&amp;weekday=mon,9.98,오늘의 순정망화
23,23,팔이피플,매미 / 희세,월,"스토리, 드라마","&lt;마스크걸&gt;, &lt;위대한 방옥숙&gt; 매미/희세 작가의 신작!
SNS에서 육아용품 파는 평범한 유부녀 박주연, 그녀의 고등학교 동창인 김예희는 팔로워 70만의 셀럽으로 엄청난 부와 명성을 누리는 중이다.
박주연은 김예희를 미워하는 동시에 집착하고 있는데, 과연 그녀는 김예희의 과거를 폭로하고 셀럽으로 올라설 수 있을까?",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/774863/thumbnail/thumbnail_IMAG06_56ecb055-dc10-43e6-bfa2-4a07fd1c7f30.jpg,https://comic.naver.com/webtoon/list?titleId=774863&amp;weekday=mon,9.68,팔이피플
24,24,수영만화일기,해오,"월, 목","에피소드, 일상","백수 겸 만화가지망생 해오, 저질체력에서 벗어나기 위해 수영에 도전!
작심삼일이리라는 예상과는 다르게 어느새 수영에 익숙해진다.
'이게 대체 어떻게 된 일이야? 나…… 수영을 사랑하게 된 걸까?'
그렇게 수영을 익혀가면서 점차 몸도 마음도 성장해나가는데…….
불확실한 미래를 안고 살아가지만, 해오는 오늘도 수영한다.",네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/768534/thumbnail/thumbnail_IMAG06_4d16860b-8a5b-40c5-8530-f830f9080b4a.jpg,https://comic.naver.com/webtoon/list?titleId=768534&amp;weekday=mon,9.9,수영만화일기
