,id,title,author,genre,story,platform,age,complete,thumbnail,web,rate,free
20,20,불티,박시현 / 오른손,"스토리, 스릴러","화학약품이나 폭발물을 제조해 사기, 협박 등을 하며 살고 있는 봉준. 
타깃으로 삼았던 건물이 폭발해버리고, 영문도 모른 채 연쇄 폭탄 테러범이라는 누명을 쓰고 만다.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/772002/thumbnail/thumbnail_IMAG06_560d98b9-aff7-465d-a63f-8f7d4a023ba9.jpg,https://comic.naver.com/webtoon/list?titleId=772002,9.46,2
21,21,제7원,남정훈 / 김태헌,"스토리, 스릴러","‘낯 선 감방에서 눈을 뜬 남자 4310. 
그는 자신이 기억을 잃었다는 것과 아울러 이 감방엔 문이 없는 사방이 벽뿐이라는 사실을 알게 된다!’",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/772004/thumbnail/thumbnail_IMAG06_645bc3fd-6ef5-49ff-b4bd-3b978d7be1b7.jpg,https://comic.naver.com/webtoon/list?titleId=772004,9.29,2
22,22,DEY,DEY,"옴니버스, 스릴러","[데드데이즈] DEY작가의 새로운 공포 단편선
기발하고 소름 돋는 무서운 이야기들로 만들어 낸 실험적인 옴니버스 공포웹툰.",네이버 웹툰,18,1,https://shared-comic.pstatic.net/thumb/webtoon/774762/thumbnail/thumbnail_IMAG06_9bed69dd-025e-4d8b-90d1-b2bf34604347.jpg,https://comic.naver.com/webtoon/list?titleId=774762,9.8,2
23,23,금혼령-조선혼인금지령,천지혜 / 산책,"스토리, 로맨스","7년째 이어진 조선혼인금지령?!
왕을 상대로 한 인생 사기극",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/729938/thumbnail/thumbnail_IMAG06_4c3a8161-1d55-4116-abdd-8a21ead342a0.jpg,https://comic.naver.com/webtoon/list?titleId=729938,9.96,1
24,24,재혼,"알파타르트,히어리 / 숨풀","스토리, 로맨스","동대제국의 완벽한 황후였던 나비에.
?황제인 남편이 정부를 황후로 만들려는 것을 알고 이혼을 택한다. 그리고 결심한다.
이곳에서 황후가 될 수 없다면 다른 곳에서 황후가 되겠다고.
인기 웹소설 &lt;재혼 황후&gt;가 웹툰화되다!",네이버 웹툰,12,1,https://shared-comic.pstatic.net/thumb/webtoon/735661/thumbnail/thumbnail_IMAG06_1f38280a-63d8-4cb5-a6f8-de828c4d914c.jpg,https://comic.naver.com/webtoon/list?titleId=735661,9.97,1
25,25,당신의,고태호,"스토리, 드라마","모든 것을 잃어버린 17년. 그래도 아직... 살아있다.
나를 살인자라 손가락질한 당신들은... 무죄입니까?",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/738194/thumbnail/thumbnail_IMAG06_4673d022-2115-4312-b963-d5dd0a3dcfe7.jpg,https://comic.naver.com/webtoon/list?titleId=738194,9.96,1
26,26,늑대가,김민희,"스토리, 드라마","엄마의 재혼을 창의적으로 반대하다 깡촌의 대안학교로 쫓겨난 사고뭉치 금수저 김순한. 
알고 보니 대안 학교 '두손고'의 친구들은 모두 늑대인간?!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/771993/thumbnail/thumbnail_IMAG06_1b4664e6-c974-4ecc-be10-8987ead63069.jpg,https://comic.naver.com/webtoon/list?titleId=771993,9.8,2
27,27,흥부놀부전,황동,"스토리, 판타지","전래동화 흥부놀부 이후. 다시 제비를 쫓아가는 흥부와 놀부의 목적은 복수?! 
한국 전래동화의 기록되지 않은 후일담(?)을 다룬 열혈 무협 판타지 액션물!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/772001/thumbnail/thumbnail_IMAG06_0fc0a367-1d81-4641-b0d3-edcc83f5947c.jpg,https://comic.naver.com/webtoon/list?titleId=772001,9.58,2
28,28,죽여주는,뻥 / 조은,"스토리, 스릴러","타인의 거짓말을 꿰뚫어보는 고교생 백아. 
거짓으로 사건을 만들어내는 탐정을 만나고, 
세상에 그의 진실을 밝혀내야 한다.",네이버 웹툰,12,1,https://shared-comic.pstatic.net/thumb/webtoon/744313/thumbnail/thumbnail_IMAG06_80181352-8a14-4c52-b9d9-70633cbafa53.jpg,https://comic.naver.com/webtoon/list?titleId=744313,9.9,1
29,29,뫼신,윤현승 / 방승현,"스토리, 판타지","신령과도 같은 짐승 뫼신.
떠돌이 무사 한세희는 그들을 사냥하고, 
그의 앞에 신비한 힘을 가진 소녀가 나타나는데...",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/751208/thumbnail/thumbnail_IMAG06_ff8db46b-2512-41d9-92be-2287f42ada88.jpg,https://comic.naver.com/webtoon/list?titleId=751208,9.92,1
30,30,셈하는,면지,"스토리, 로맨스","사람의 마음을 1에서 100까지의 '숫자'로 볼 수 있는 권모란.
괴상한 능력을 없애기 위한 파란만장 고교생활이 시작된다!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/738173/thumbnail/thumbnail_IMAG06_d273ffbd-c107-4cd6-b949-549459ba1994.jpg,https://comic.naver.com/webtoon/list?titleId=738173,9.97,1
31,31,"소년,",수진,"스토리, 로맨스","한번 사귀면 한 달 동안만 사귀어 '한달동'이라 불리는 한재동.
진짜 사랑을 믿지 않던 그에게 사랑이 찾아왔다.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/771990/thumbnail/thumbnail_IMAG06_616bda46-c0c7-4096-927c-2dcfae1e09f5.jpg,https://comic.naver.com/webtoon/list?titleId=771990,9.68,2
32,32,줄라이,신건우,"스토리, 로맨스","아이돌과 합주 팀원이 되야 한다고?!
한국예술대학교 실용음악과에 재학중인 여주 한주리.
?주리는 합주 시간에 팀원을 구하지 못하게 되고 기숙사에서 쫒겨날 판에 쳐하게 된다.
?기숙사에서 쫒겨나지 않으려면 팀을 구해야 하는데...
?남은 사람은 아이돌스타 블루?",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/771992/thumbnail/thumbnail_IMAG06_049fe3db-3a35-4a2c-864b-fa6f7d8c0bc6.jpg,https://comic.naver.com/webtoon/list?titleId=771992,6.88,2
33,33,하슬라,까를로스 / 유상진,"스토리, 액션","일곱 번 타인의 삶을 구하면 한 번의 살인이 무죄가 되는 도시 하슬라.
처절한 복수를 꿈꾸는 도진. '피의 도시' 하슬라에서 사마리안이 되다.",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/730391/thumbnail/thumbnail_IMAG06_c2b041ab-ab07-4a42-a782-5eb88581088b.jpg,https://comic.naver.com/webtoon/list?titleId=730391,9.91,1
34,34,합격시켜주세용휴재,이온,"스토리, 판타지","천년째 용이 되려는 수험생 바리와
전설의 과외선생 찬영이의 낙동강 용 합격 수기",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/728128/thumbnail/thumbnail_IMAG06_a694ef92-520b-4767-89f5-3f0ae2cef5d8.jpg,https://comic.naver.com/webtoon/list?titleId=728128,9.98,2
35,35,감히,희나리,"스토리, 스릴러","진실을 향한 입과 귀를 틀어막고 짓누르는 그들. 
이제 죽음에서 자유로워진 그녀의 복수가 시작된다.",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/738177/thumbnail/thumbnail_IMAG06_dc62877b-7255-460f-aab8-0045ea90850f.jpg,https://comic.naver.com/webtoon/list?titleId=738177,9.91,1
36,36,인터셉트,임주이,"에피소드, 로맨스","비 오는 날이면 늘 안 좋은 일만 생기던 그녀에게 처음으로 내린 따스한 비.
사랑에 지친 윤서에게 새로운 사랑이 찾아온다!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/747961/thumbnail/thumbnail_IMAG06_3d8af28c-f88b-4a13-b564-71a3ae56df62.jpg,https://comic.naver.com/webtoon/list?titleId=747961,9.94,2
37,37,별종,이무기,"스토리, 드라마","이방인이 지구에 방문했다.
불행은 그 때부터 시작되었다.
예측불허 전개의 SF 스릴러.",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/738144/thumbnail/thumbnail_IMAG06_6fa6e0e3-9111-41bf-91ef-4b7289fbd4d8.jpg,https://comic.naver.com/webtoon/list?titleId=738144,9.94,1
38,38,지금은,자유,"스토리, 로맨스","주인공 하얀은 고고학과 2학년. 
어릴 적 꿈을 좇아 고고학과에 입학했지만 상상과는 다른 전공 내용, 취업 등의 
현실적인 문제 때문에 전과해야 하는 것은 아닌지 계속 고민 중이다.
 그러던 중 하얀은 뜻밖에도 우리나라의 고대사를 뒤엎을 만한 
역사적 유물 조사의 연구 장학생으로 선택되면서 다시 한 번 고고학에 대한 열정을 불태우기로 하는데...",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/771988/thumbnail/thumbnail_IMAG06_9d9a607e-402f-4070-a9d7-f625db8f4a5f.jpg,https://comic.naver.com/webtoon/list?titleId=771988,9.85,2
39,39,알바걸과,수진,"스토리, 드라마","집안 사정으로 휴학을 한 미대생 '나탈리'.
그녀는 낮에는 빵집, 밤에는 편의점 알바를 한다.
그런 그녀 앞에 동네 백수 일명 워킹(walking)맨 '주드로'가 나타난다.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/771989/thumbnail/thumbnail_IMAG06_5cf016df-024f-4abe-8cc3-41bfbdcb2056.jpg,https://comic.naver.com/webtoon/list?titleId=771989,9.72,2
40,40,피플,서승준 / 손창균,"스토리, 드라마","평범한 삶을 원하는 선장과 선원들.
바다 한 가운데서 펼쳐지는 그들의 긴박한 이야기.",네이버 웹툰,12,1,https://shared-comic.pstatic.net/thumb/webtoon/706590/thumbnail/thumbnail_IMAG06_3dcabf9a-4afd-48c0-b375-d2c0f8ec576b.jpg,https://comic.naver.com/webtoon/list?titleId=706590,9.82,1
41,41,뱀파이어의,카나리아 / 동물,"스토리, 로맨스","500년 만에 인간 세상에 나타난 뱀파이어, 루베르이와 인간 계약자 서영의
'뱀파이어 꽃'을 찾는 숨 막히는 모험과 사랑을 그린 뱀파이어 로맨스.
※본 작품은 시리즈 오리지널 작품으로 네이버웹툰에서 듀얼연재됩니다.※",네이버 웹툰,12,1,https://shared-comic.pstatic.net/thumb/webtoon/721455/thumbnail/thumbnail_IMAG06_9c5e3329-1733-40b5-887d-7487b61598e2.jpg,https://comic.naver.com/webtoon/list?titleId=721455,9.86,2
42,42,인간의,이재익 / 양세준,"스토리, 드라마","형사와 기자 그리고 이상한 소년.
일어나선 안 될 사건들.
진실을 향한 치열한 추적이 시작된다.",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/733770/thumbnail/thumbnail_IMAG06_3fb82c49-9078-41bd-a19d-74e35c5fbcff.jpg,https://comic.naver.com/webtoon/list?titleId=733770,9.91,1
43,43,미스테리,고경빈,"스토리, 스릴러","인간들은 내 장난감이야. 난 인간들이 좋아.
불가사의한 존재들, 그리고 그들이 보여주는 ""당신이 가장 아름답게 빛나는 순간.""",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/770386/thumbnail/thumbnail_IMAG06_1884257d-229f-43e5-8652-81d98f1b4d96.jpg,https://comic.naver.com/webtoon/list?titleId=770386,9.68,2
44,44,유니버스,고경빈,"스토리, 스릴러","단지 지루하다는 이유로 999개의 평행우주를 창조한 미지의 존재 001.
001이 안내하는 기묘한 세계들의 기묘한 이야기들.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/770387/thumbnail/thumbnail_IMAG06_103197d0-d67a-4402-b7ee-157f5ed58153.jpg,https://comic.naver.com/webtoon/list?titleId=770387,9.72,2
45,45,바이러스X,준 / 하랑,"스토리, 스릴러","사망률 100%의 바이러스의 출현으로 초토화가 된 인류, 
감염 경로도 모른 채 백신을 기다리는 사람들...
이 파국의 끝은 어디인가?!!",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/754781/thumbnail/thumbnail_IMAG06_7126c6dc-7ed0-4cf0-80ac-62928bcf1a8c.jpg,https://comic.naver.com/webtoon/list?titleId=754781,7.22,2
46,46,민간인,OSIK,"스토리, 스릴러","GP 그 이면에 감춰져있던 차마 말하지 못했던 이야기들. 
진실은 감출수록 좋다.",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/737377/thumbnail/thumbnail_IMAG06_555328ec-96c2-444d-b637-8f6ea79f2691.jpg,https://comic.naver.com/webtoon/list?titleId=737377,9.95,2
47,47,꼬리,진하 / 헤폰,"스토리, 로맨스","""나무꾼의 환생과 결혼하지 않으면 여우가 된다고?!!""
운명의 상대를 찾기 위한 윤하의 고군분투 연애담이 시작된다.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/741894/thumbnail/thumbnail_IMAG06_48bd360a-62a8-4655-b766-1bf84c37569a.jpg,https://comic.naver.com/webtoon/list?titleId=741894,9.93,2
48,48,전자오락수호대,가스파드,"스토리, 판타지","아무도 모르게 게임을 굴리는 비밀의 일꾼들.
최고 요원 패치의 게임 조난 굴곡사!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/637931/thumbnail/thumbnail_IMAG06_a00dcf02-989d-49ca-b267-a8da6208e0d0.jpg,https://comic.naver.com/webtoon/list?titleId=637931,9.97,2
49,49,필살VS로맨스,구르,"스토리, 개그","무협 만화 같은 여자 ‘유비’. 순정 만화 같은 남자 ‘신우’.
자신의 장르대로 살아가던 두 사람의 순탄치 않은 썸타기!
만화의 정석대로 해피엔딩을 이룰 수 있을까?!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/745207/thumbnail/thumbnail_IMAG06_77574f49-7c80-4d31-a648-4eb4a33ac56b.jpg,https://comic.naver.com/webtoon/list?titleId=745207,9.98,2
50,50,혼신,임리나,"스토리, 판타지",원귀를 성불시키기 위해 신으로부터 선택받은 ‘사도’와 그러한 사도를 감시하며 보좌하는 ‘감시자’들,네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/769688/thumbnail/thumbnail_IMAG06_266e7fb6-3295-4df5-a1da-0563d6e04ef5.jpg,https://comic.naver.com/webtoon/list?titleId=769688,9.62,2
51,51,그,김현,"스토리, 로맨스","사랑에 집착하는 희범.
공부에만 집중하고픈 유원. 
10대의 마지막 여름, 이들과 마주한 주미. 
성장통을 겪는 소년 소녀들의 드라마",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/772235/thumbnail/thumbnail_IMAG06_271bdd9b-313a-4bba-81eb-e5d1e26df2d9.jpg,https://comic.naver.com/webtoon/list?titleId=772235,9.91,2
52,52,인어를,용찬,"스토리, 로맨스","헤엄에 서툰 인어를 위한 수영 교실! 
초아는 수영을 배워 그리워하던 바다로 다시 돌아갈 수 있을까?",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/728900/thumbnail/thumbnail_IMAG06_034af2d2-76ea-45d7-bada-4dce7b5abe2a.jpg,https://comic.naver.com/webtoon/list?titleId=728900,9.98,2
53,53,홍시는,강하다 / 웃는해,"에피소드, 로맨스","스무 살 고3 홍시호가 전학 왔어요! 방긋방긋 웃는 모습 뒤에는 어떤 비밀이...?
단내 나는 홍시가 예쁘게 여물어가는 이야기.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/703839/thumbnail/thumbnail_IMAG06_05b0f4f0-7805-4348-bc7f-aceae5886215.jpg,https://comic.naver.com/webtoon/list?titleId=703839,9.97,1
