,동,전체산업,소매업_자동차_제외_사업체수,숙박_음식점업_사업체수,초등_교육기관_사업체수,중등_교육기관_사업체수,고등_교육기관_사업체수,특수학교_외국인학교_대안학교_사업체수,일반교습학원_사업체수,기타교육기관_사업체수,교육지원_서비스업_사업체수,보건업_사회복지_서비스업_사업체수,보건업_사업체수,병원_사업체수,전체산업.1,소매업_자동차_제외_종사자수,숙박_음식점업_종사자수,초등_교육기관_종사자수,중등_교육기관_종사자수,고등_교육기관_종사자수,특수학교_외국인학교_대안학교_종사자수,일반교습학원_종사자수,기타교육기관_종사자수,교육지원_서비스업_종사자수,보건업_사회복지_서비스업_종사자수,보건업_종사자수,병원_종사자수,총인구_합계,남자인구_합계,여자인구_합계,한국인_세대수,한국인_총인구,한국인_남자인구,한국인_여자인구,외국인_총인구,외국인_남자인구,외국인_여자인구,하천,남자20대이하,남자20대,남자30대,남자40대,남자50대,남자60대이상,여자20대이하,여자20대,여자30대,여자40대,여자50대,여자60대이상,자전거도로갯수,관광지개수,버스정류장 개수
23,인후2동,"1,243",317,166,3.0,5.0,0.0,1.0,1,17,3.0,77,44,2.0,"4,915",599,402,82,391,0,70.0,29,31,80.0,667,395,104,12094.0,6059.0,6035.0,5777.0,11797.0,5917.0,5880.0,297.0,142.0,155.0,0.0,1755.96,3742.4933333333333,4459.62,6634.926666666666,6726.423333333333,8217.171666666669,1863.3616666666665,3490.973333333334,3562.763333333333,4937.988333333334,4933.675,6093.8366666666625,4.0,0.0,13.0
24,인후3동,"2,049",359,350,12.0,2.0,0.0,0.0,87,87,1.0,103,56,2.0,"8,276",897,"1,031",335,159,0,0.0,268,262,3.0,908,426,138,32426.0,15863.0,16563.0,13710.0,32160.0,15764.0,16396.0,266.0,99.0,167.0,0.0,4034.17,5912.099999999999,8514.731666666665,12732.956666666667,10923.128333333332,10361.035,4600.048333333333,5743.648333333327,7764.319999999999,10847.526666666665,8364.874999999996,8963.52166666667,7.0,0.0,17.0
25,덕진동,"2,206",388,499,8.0,4.0,11.0,0.0,34,73,5.0,77,42,4.0,"12,392",915,"1,789",183,177,"2,671",0.0,106,261,26.0,"1,099",709,361,21215.0,10659.0,10556.0,9427.0,20355.0,10289.0,10066.0,860.0,370.0,490.0,1.0,3096.2200000000084,10978.876666666669,10892.888333333342,13705.011666666685,12897.805000000017,12838.508333333333,3218.7116666666734,9003.205000000018,7720.621666666662,9302.191666666682,8049.529999999998,7941.951666666674,10.0,1.0,29.0
26,금암1동,"1,420",215,401,1.0,1.0,0.0,0.0,8,42,2.0,54,31,6.0,"9,846",597,"1,238",54,79,0,0.0,104,314,9.0,995,518,319,8824.0,4698.0,4126.0,4679.0,7532.0,4020.0,3512.0,1292.0,678.0,614.0,1.0,2153.8433333333337,9304.51333333333,7979.0499999999965,9714.896666666671,9743.391666666666,11645.720000000001,2168.6833333333334,7375.803333333334,5652.071666666664,6439.2,6488.616666666666,8503.973333333339,5.0,0.0,16.0
27,금암2동,769,152,137,2.0,0.0,2.0,0.0,7,15,1.0,41,21,2.0,"5,382",416,304,23,0,175,0.0,38,59,2.0,"3,057","2,890","2,682",10714.0,5322.0,5392.0,4989.0,10341.0,5118.0,5223.0,373.0,204.0,169.0,0.0,1086.655,4554.358333333332,3976.08,4850.893333333335,4742.948333333333,6470.255,1245.285,3966.6399999999994,3235.501666666665,3796.7233333333334,3895.5183333333334,5010.090000000004,5.0,0.0,7.0
28,팔복동,"1,807",139,120,0.0,0.0,0.0,0.0,3,10,0.0,16,4,0.0,"16,187",436,348,0,0,0,0.0,6,80,0.0,321,22,0,8300.0,4554.0,3746.0,4211.0,8029.0,4363.0,3666.0,271.0,191.0,80.0,1.0,2593.8066666666614,7771.136666666672,14608.806666666665,21597.448333333283,20319.026666666632,14216.445000000002,2587.7783333333286,5164.0033333333295,7741.835000000007,9851.108333333332,8028.161666666668,7636.17166666667,5.0,0.0,15.0
29,우아1동,"1,081",188,268,4.0,2.0,0.0,0.0,4,21,0.0,29,17,1.0,"4,525",509,617,61,82,0,0.0,7,44,0.0,"1,035",924,831,10096.0,5066.0,5030.0,4704.0,9965.0,4999.0,4966.0,131.0,67.0,64.0,1.0,1333.6416666666667,3685.558333333333,5185.356666666667,7772.7516666666625,8147.143333333336,8300.959999999997,1360.8850000000002,3427.1233333333366,3677.7400000000057,4953.091666666661,4886.619999999994,4857.470000000004,3.0,1.0,16.0
30,우아2동,"1,535",175,476,3.0,1.0,0.0,0.0,16,16,0.0,44,15,4.0,"6,294",444,"1,343",45,79,0,0.0,38,31,0.0,993,571,526,15125.0,7756.0,7369.0,7360.0,14956.0,7703.0,7253.0,169.0,53.0,116.0,1.0,1906.0883333333168,4462.401666666695,7646.510000000042,12408.360000000152,12590.723333333468,11096.08333333343,2093.1566666666567,3765.3200000000234,5325.205000000027,7361.266666666645,7137.559999999977,6555.810000000024,4.0,0.0,14.0
31,호성동,"1,138",132,136,7.0,1.0,0.0,0.0,36,51,1.0,55,19,2.0,"4,179",297,473,167,45,0,0.0,132,115,1.0,523,252,176,21154.0,10210.0,10944.0,7835.0,21042.0,10154.0,10888.0,112.0,56.0,56.0,1.0,1760.8366666666616,3216.000000000005,6014.701666666679,9417.161666666672,9232.52333333334,8866.04833333333,1858.43166666666,2621.6783333333333,4512.038333333338,6276.044999999995,5563.739999999991,5157.183333333332,4.0,0.0,19.0
32,송천1동,"2,480",391,451,7.0,5.0,0.0,0.0,176,132,1.0,140,70,2.0,"8,881","1,130","1,776",407,443,0,0.0,545,338,1.0,"1,255",515,111,59376.0,29393.0,29983.0,20428.0,59125.0,29296.0,29829.0,251.0,97.0,154.0,1.0,10790.156666666708,11958.86500000005,19009.958333333332,23477.573333333334,18343.190000000017,15605.839999999998,11404.853333333374,11502.516666666668,17191.570000000014,20428.49333333335,14662.805000000082,12426.546666666667,11.0,0.0,26.0
33,송천2동,"2,272",383,298,8.0,1.0,0.0,0.0,56,52,1.0,76,39,3.0,"7,178",953,"1,001",261,58,0,0.0,131,87,7.0,714,324,140,26748.0,13050.0,13698.0,9832.0,26586.0,12973.0,13613.0,162.0,77.0,85.0,1.0,6833.978333333337,10515.893333333335,17632.945000000003,25406.43833333335,22529.428333333348,20175.32666666667,6960.0233333333335,9455.830000000022,13227.475,17556.505,14762.828333333351,13865.951666666668,6.0,0.0,16.0
34,조촌동,946,117,88,7.0,0.0,0.0,0.0,6,20,2.0,25,10,2.0,"3,890",282,246,132,0,0,0.0,30,38,12.0,383,270,244,12133.0,6199.0,5934.0,5743.0,11968.0,6135.0,5833.0,165.0,64.0,101.0,0.0,4509.996666666663,8175.616666666671,14868.990000000014,21540.391666666703,19723.74333333337,17431.925000000065,4159.869999999999,6439.121666666665,9818.275000000014,11133.305,11342.198333333334,11887.776666666667,5.0,0.0,9.0
35,진북동,"1,358",129,155,5.0,2.0,0.0,0.0,15,30,1.0,52,27,2.0,"6,482",317,378,96,73,0,0.0,41,168,1.0,532,233,114,14924.0,7328.0,7596.0,6821.0,14852.0,7304.0,7548.0,72.0,24.0,48.0,1.0,1812.5833333333333,4367.173333333333,5659.681666666666,7991.016666666666,8176.983333333327,10269.453333333333,1808.9466666666667,4190.538333333333,4438.988333333332,5713.279999999996,5535.553333333333,7170.570000000001,6.0,0.0,16.0
36,혁신동,879,36,171,4.0,2.0,1.0,0.0,77,70,1.0,34,12,0.0,"6,930",115,608,269,210,246,0.0,246,235,10.0,270,69,0,17925.0,8734.0,9191.0,5462.0,17900.0,8727.0,9173.0,25.0,7.0,18.0,0.0,6042.860000000001,5324.6816666666755,10044.248333333337,15378.431666666731,9725.208333333345,6216.046666666662,6721.991666666676,5432.120000000002,9740.630000000016,12685.436666666717,6355.328333333343,4797.211666666667,7.0,2.0,10.0
37,여의동,"2,309",191,248,9.0,4.0,0.0,0.0,47,60,2.0,79,37,3.0,"12,289",749,856,243,419,0,0.0,118,140,44.0,"1,178",683,322,30208.0,15216.0,14992.0,11726.0,29997.0,15136.0,14861.0,211.0,80.0,131.0,0.0,8408.605000000041,12904.248333333417,25393.018333333337,32835.086666666735,27324.266666666634,22559.7266666667,8258.596666666717,11672.943333333433,19844.93500000002,20932.843333333385,16974.415000000114,16106.858333333386,18.0,,55.0
