,id,title,author,genre,platform,story,age,rate,complete,free,thumbnail,website
266,266,오빠는 역시 늑대야,"코타, 우로코",로맨스,레진코믹스,“내 여자 해도 괜찮겠는데?” 동경하던 선배에게 처음 만든 쿠키를 주려 했던 유노. 하지만 불행하게도 타이밍이 맞지 않아 평소 질색하던 동급생 슈에게 말실수로 고백 아닌 고백을 해버리는데?! 게다가 어머니의 재혼 상대와...,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/4676630931046400/images/tall.webp?updated=1612240333773&width=214,https://www.lezhin.com/ko/comic/weird_brother
267,267,클럽 아모르,비바,백합,레진코믹스,"이리 와봐, 내가 네 사랑을 관리해줄게. 비 내리는 어느 날, 다나는 쓰레기 더미에 쓰러져 있는 데이지를 주워 자신의 가게로 데려간다. 다나가 매니저로 일하는 곳은 라는 작은 스트립바. 슬럼가의 허름한 가게이지만...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5574918473842688/images/tall.webp?updated=1596021454285&width=214,https://www.lezhin.com/ko/comic/club_amor
268,268,숨겨진 세계 [연재],MISHA,로맨스,레진코믹스,"내가 알고 있던 나에 대한 모든 것이 진실이 아니라면?! 대학생 권미르에게는 아무에게도 말하지 못하는 비밀이 있다. 바로 알수없는 꿈을 꾸면 머리가 길게 자라나는 것. 남들과는 다르다는 비밀을 애써 부정한 채,...",0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6363885633863680/images/tall.webp?updated=1602676168411&width=214,https://www.lezhin.com/ko/comic/hidden_world
269,269,흰 사슴 잉그리드,"레드파슬리, 흰울타리",로맨스,레진코믹스,"사교계 최악의 방탕아, 왕의 서자와 사교계 최고의 레이디, 귀족의 딸이 만났다. 3왕자의 결혼식 피로연이 있던 날. 왕의 서자, 리건의 가슴 포켓에 붉은 장미 한 송이가 꽂혔다. “리건 에스펜서 공, 저에게...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5178544469114880/images/tall.webp?updated=1617023723880&width=214,https://www.lezhin.com/ko/comic/white_deer_ingrid
270,270,그들의 방주,이요,로맨스,레진코믹스,"체크무늬, 빵 굽는 냄새, 고양이, 토끼, 햇살, 비오는 오후, 책장을 넘기는 소리, 오래된 서점 등의 따뜻한 키워드를 지닌 학원순정만화. 동물로 변하는 남매와 알게 된 배구 선수 지나의 사랑 이야기에 이어,...",0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6251940268605440/images/tall.webp?updated=1610939472806&width=214,https://www.lezhin.com/ko/comic/their_ark
271,271,너의 처음을 전부 나에게 줘,카놀라 유,로맨스,레진코믹스,"""너의 처음은 전부 내 거야."" 갑자기 빼앗긴 첫 키스. 처음인데도… 와 닿은 그의 따스함은 어딘가 익숙한 느낌…. 어렸을 때부터 겨루기를 좋아했고, 오늘도 벌칙으로 아침 업무를 걸고 궁도 시합을 하는 사키....",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6610323147325440/images/tall.webp?updated=1611558933704&width=214,https://www.lezhin.com/ko/comic/all_about_your_first_time
272,272,평범한 코이코 짱,나나지 나가무,로맨스,레진코믹스,"평범하고 싶지만 평범하지 않은 여자주인공과 학교 최고의 인기남이 엮이면서 펼쳐지는 흥미로운 학원 러브 스토리가 시작된다. 전작[걷고 있어]와는 달리 정통 학원물,왕도 순정 만화를 그리고 싶어하는 작가의 마음이 십분 녹아나온 스토리는 순정...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6271533661945856/images/tall.webp?updated=1626921525186&width=214,https://www.lezhin.com/ko/comic/koiko
273,273,어느 날 부자 아빠가 나타나다!,"FENG LU SHE, MO XIAN SHE",로맨스,레진코믹스,"극한의 흙수저 대학생 서은상. 하루하루 먹고살기 빠듯한데… 대학 등록금, 어린 동생들, 엄마 병원비때문에 하루에도 알바만 3~4개, 심지어는 믿었던 남친의 배신까지! 하지만, 돈없어 서러웠던 그녀의 인생에 갑자기 꽃미남 집사와 10억이 그리고...",0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/4842482976489472/images/tall.webp?updated=1624872492478&width=214,https://www.lezhin.com/ko/comic/rich_father
274,274,사랑의 형태 : 마음이 향하는 곳 [연재],Lubianzhangshan,로맨스,레진코믹스,"연기라는 꿈을 위해 사랑을 포기한 여배우 남아영. 실연의 아픔으로 연기에 대한 꿈도 흔들리는 천재 배우 지연우. 앙숙이었던 두 사람이지만, 서로가 같은 상처를 안고 있는 것을 알고 가까워지게 된다. 연기의 길을...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6441058688106496/images/tall.webp?updated=1627872167904&width=214,https://www.lezhin.com/ko/comic/form_of_love
275,275,눈 떠보니 네가 왜,"리사, 마도카",로맨스,레진코믹스,"본격 막장 재벌 로맨스! 눈떠보니 네가 왜? 재벌 기업의 첫째딸이 약혼남을 놔두고 클럽에서 원나잇을?!! 알고 보니 질투심 많은 동생의 계략임을 깨달았을 때는 이미 늦었다. 집안은 발칵 뒤집어지고, 정략결혼 상대였던 약혼남은...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6083816323153920/images/tall.webp?updated=1595576839327&width=214,https://www.lezhin.com/ko/comic/the_rich_and_the_host
276,276,육식 계장은 내 몸을 한입에 먹어 치운다 [개정판],사에지마 츠키,로맨스,레진코믹스,"[해당 작품은  성인 버전의 일부 장면을 수정한 15세 개정판입니다. 이용에 참고 부탁드립니다.] ""싫으면 진심으로 저항해. 여기서부턴 멈출 수 없으니까."" 10년 전, 첫 경험의 트라우마 때문에 연애를 멀리해왔던 후미. 자신의 몸매에...",0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6232117567619072/images/tall.webp?updated=1588903168838&width=214,https://www.lezhin.com/ko/comic/in_carnivores_mouth_rd
277,277,그와 사랑이라니,미모리 아오,로맨스,레진코믹스,사귄 지 2년 된 남자친구가 동료와 바람을 피우는 모습을 목격한 미쿠. 자포자기 상태로 길거리에서 발견한 훈남 히카루에게 작업을 건다! 예상외로 흔쾌히 ok를 받고 분위기에 휩쓸려 바로 호텔로 직행?! 하지만 일을...,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6400792677384192/images/tall.webp?updated=1609291837124&width=214,https://www.lezhin.com/ko/comic/love_with_him
278,278,P와 여고생,미요시 마키,로맨스,레진코믹스,"고등학생인 카코(16세)는 22세 동안 대학생 설정으로 사회인들의 미팅에 참가! 그곳에서 코타(23세)와 만나, 사랑의 시작… 이라고 생각했더니, 코타는 경찰이었다!! ⓒMaki Miyoshi/Kodansha Ltd.",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/4624609481326592/images/tall.webp?updated=1621909126650&width=214,https://www.lezhin.com/ko/comic/police_and_highschool_student
279,279,막차로 못 가게하는 단 한 가지 방법,토쿠오츠무,백합,레진코믹스,"신입사원 모리토 나나코는 선배이자 사수인, 세가와 아야카를 신경 쓰고 있었다. 멀리서 봐도 미인에, 말 걸기 편할 정도로 상냥해. 좋아하는… 걸까, 하고 자문자답을 계속하며, 남몰래 매일같이 마음을 키워나갔는데, 들려오는 선배의 충격적인...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5260265250684928/images/tall.webp?updated=1588828540106&width=214,https://www.lezhin.com/ko/comic/makcha_cant_go
280,280,화화원행기 [연재],최수정,로맨스,레진코믹스,"부업으로 틈틈이 돈을 벌어오던 이매 수렵사, 류가화는 사규에 어긋난 부업으로 수렵사 협회 ‘불가살이’에서 쫓겨나게 된다. 한편, 출중한 실력에도 불구하고 출세길에서 물러난 중랑장, 강이소는 황제의 부마 후보인 송비연을 도성으로 안전히 호위해오는...",0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5647932971352064/images/tall.webp?updated=1618975025748&width=214,https://www.lezhin.com/ko/comic/hhwhg
281,281,그렇고 그런 사이,앤쥬,로맨스,레진코믹스,소꿉친구로 함께 자라온 도연과 쌍둥이 형제 원영과 원혁. 어릴 적부터 원혁을 마음에 두고 있던 도연은 중학교 축제날 원혁에게 공개 고백을 했다가 장렬하게 차인다. 말 그대로 그렇고 그런 사이가 된 세...,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5775223035592704/images/tall.webp?updated=1615776590355&width=214,https://www.lezhin.com/ko/comic/in_that_relationship
282,282,나의 위험한 수호신,"한세람, 수자",로맨스,레진코믹스,여고생 '소원'의 학교는 초미남 전학생의 등장으로 술렁인다. 소원하고는 초면이 아닌듯한 '현'. 그는 소원에게 자신이 그녀의 수호신이라고 하는데…,0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5596420708106240/images/tall.webp?updated=1610941835752&width=214,https://www.lezhin.com/ko/comic/mysin
283,283,우르 님의 하인 [개정판],쿠리오네,로맨스,레진코믹스,"먼 이국에서 관광을 즐기던 미용사 사쿠라는 본의 아니게 음모에 휘말려, 큰 위기에 처하고 만다. 절체절명의 순간, 1억 엔에 그녀를 사 들인 것은 정체를 알 수 없는 아름다운 용모의 남자 우르쥬완...",0,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6711132883058688/images/tall.webp?updated=1595566377510&width=214,https://www.lezhin.com/ko/comic/urs_servant_re
284,284,한복이 너무해,"김아영, CHARA",로맨스,레진코믹스,"가정부를 불렀는데 민속촌 아가씨가 튀어나왔다?! 2012년 트위터리안들을 뜨겁게 달궜던 대검찰청과 한국민속촌 커플링의 소셜 페스티벌이 마침내 웹툰화! 대검이와 소촌이의 달콤쌉쌀 두근두근 러브액시던트!! 매월 1, 11, 21일 업데이트",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6650203671232512/images/tall.webp?updated=1548983005423&width=214,https://www.lezhin.com/ko/comic/hanbok_lady
285,285,나비소리,ZZING,백합,레진코믹스,daum만화속세상에서 [일상감동만화]를 연재했던 ZZING 작가의 감성 소녀 로맨스 ‘작은 행동은 큰 변화가 되어 당신의 미래를 바꾼다’ 학교에서는 왕따를 당하고 집에서는 사랑받지 못해 자살충동을 느끼는 고3 소녀 부슬비는 어느 날 기억...,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5669640899002368/images/tall.webp?updated=1545970950214&width=214,https://www.lezhin.com/ko/comic/sound_butterfly
286,286,사장님과 금비서,"라임정원, KIRTY",로맨스,레진코믹스,대학 졸업 후 온갖 알바를 뛰며 기울어가는 가세를 일으킨 아지는 어느 날 큰아버지의 제안으로 대기업 선구그룹 사장의 비서로 들어가게 된다. 그것도 낙하산으로!! 대기업이 별거냐 싶어 별 신경 안 쓰고 나간...,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5219040868564992/images/tall.webp?updated=1610943291256&width=214,https://www.lezhin.com/ko/comic/geum_secretary
287,287,환생하여 배우님 유혹하기 [연재],픽스타,로맨스,레진코믹스,"불의의 죽음을 '당한' 엑스트라 배우 심유진, 저승의 허락을 받고 연예인으로 다시 환생하다? 그러나 몸 주인의 소원을 이뤄주어야 비로소 몸을 장기간 '렌탈'할 수 있다고 하는데... 소원이 '배우 강승현을 따먹는 것'이면 대체...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6514907669463040/images/tall.webp?updated=1610939636522&width=214,https://www.lezhin.com/ko/comic/target_is_the_actor
288,288,별안간 아씨,"아이링, 서자영",로맨스,레진코믹스,"걸크러쉬 노비 덕이의 신분상승 프로젝트! 노비의 삶을 자식에게까지 물려주고 싶지 않다! 혼인을 할 바에는 차라리 죽음을 택하겠다는 덕이. ""그렇다면 너를 정경부인으로 만들어주마."" 덕이는 자신이 모시는 도련님, '형수' 로부터 다소 황당한...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5361899119640576/images/tall.webp?updated=1618974926913&width=214,https://www.lezhin.com/ko/comic/suddenly_lady
